city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Hella,NO,67.2,14.4333,26.6,93,75,6.91,light snow
315,Novoagansk,RU,61.9449,76.6625,18.48,97,100,12.24,overcast clouds
316,Aksehir,TR,38.3575,31.4164,44.53,58,33,3.78,scattered clouds
317,Ouagadougou,BF,12.3642,-1.5383,71.6,28,0,4.61,clear sky
318,Tudela,ES,42.0617,-1.6045,48.2,93,90,4.61,overcast clouds
319,Ibb,YE,13.9667,44.1833,62.73,33,0,6.13,clear sky
320,Kemijarvi,FI,66.7131,27.4306,14.79,96,96,8.01,overcast clouds
321,Rudsar,IR,37.1376,50.288,51.8,93,90,6.49,overcast clouds
322,Stornoway,GB,58.2093,-6.3865,37.4,75,40,18.41,scattered clouds
323,Jalu,LY,29.0331,21.5482,54.79,56,0,6.04,clear sky
324,Pangoa,PE,-12.1167,-73.0,67.95,96,100,1.86,overcast clouds
325,Ciudad Bolivar,VE,8.1222,-63.5497,75.78,74,100,12.97,overcast clouds
326,Thabazimbi,ZA,-24.5917,27.4116,64.99,98,100,2.39,moderate rain
327,Gorom-Gorom,BF,14.4439,-0.2361,70.57,22,69,10.71,broken clouds
328,Lugovoy,KZ,42.9472,72.7644,45.72,54,100,4.05,overcast clouds
329,Muros,ES,42.7762,-9.0603,50.0,75,95,3.0,overcast clouds
330,Uberaba,BR,-19.7483,-47.9319,67.86,95,86,3.96,overcast clouds
331,Otjiwarongo,NA,-20.4637,16.6477,70.41,68,98,10.58,overcast clouds
332,Sirari,TZ,-1.2333,34.4333,72.45,61,68,4.09,broken clouds
333,Clyde River,CA,70.4692,-68.5914,-13.0,77,75,4.61,broken clouds
334,Rio Gallegos,AR,-51.6226,-69.2181,42.8,65,0,8.05,clear sky
335,Betanzos,ES,43.2804,-8.2147,51.01,71,75,11.5,broken clouds
336,Boueni,YT,-12.9025,45.0761,84.2,79,0,3.44,light rain
337,Takoradi,GH,4.8845,-1.7554,79.02,88,98,8.37,overcast clouds
338,Aksu,CN,41.1231,80.2644,41.11,54,42,2.66,scattered clouds
339,Sao Sebastiao,BR,-23.76,-45.4097,72.68,82,43,2.48,scattered clouds
340,Scarborough,GB,54.2797,-0.4044,42.01,96,100,5.99,overcast clouds
341,Bhag,PK,29.0415,67.8239,71.74,20,0,3.78,clear sky
342,Klyuchi,RU,52.2667,79.1667,31.08,98,98,9.89,overcast clouds
343,Mangrol,IN,21.1167,70.1167,79.03,27,0,16.53,clear sky
